id,Tipo de inmueble,Operación,Precio,Estado,Delegación,Colonia,Núm. de recamaras,Núm. de baños,Estacionamientos,m2 de construcción,m2 de terreno,Niveles,Antigüedad,fecha_captura
64325tc,DEPARTAMENTO,RENTA,"$11,500 MXN",CDMX,BENITO JUAREZ,NiÑos Heroes,2,1,1,52,,4,ENTRE 11 - 15 AÑOS,2025-05-16 01:32:55
64349tc,DEPARTAMENTO,RENTA,"$18,000 MXN",CDMX,BENITO JUAREZ,Del Valle Sur,2,2,1,88,,7,MAS DE 30,2025-05-16 01:32:58
64443tc,DEPARTAMENTO,RENTA,"$23,000 MXN",CDMX,BENITO JUAREZ,Narvarte Poniente,2,2,2,75,,3,ENTRE 6 - 10 AÑOS,2025-05-16 01:33:01
64762tc,DEPARTAMENTO,RENTA,"$12,500 MXN",CDMX,GUSTAVO A. MADERO,Guadalupe Tepeyac,2,2,1,65,,,MAS DE 30,2025-05-16 01:33:04
64277tc,DEPARTAMENTO,RENTA,"$13,500 MXN",CDMX,LA MAGDALENA CONTRERAS,San Jeronimo Lidice,2,1,,72,,,,2025-05-16 01:33:08
64293tc,BODEGA,RENTA,"$85,000 MXN",CDMX,TLALPAN,Miguel Hidalgo 4a Seccion,,,,400,,,,2025-05-16 01:33:10
64299tc,DEPARTAMENTO,RENTA,"$10,000 MXN",CDMX,IZTACALCO,Santa Anita,2,1,,44,,,,2025-05-16 01:33:14
64308tc,CASA,RENTA,"$11,000 MXN",CDMX,XOCHIMILCO,Santa Maria Tepepan,1,1,1,120,,1,MAS DE 30,2025-05-16 01:33:16
64322tc,DEPARTAMENTO,RENTA,"$25,000 MXN",CDMX,BENITO JUAREZ,Narvarte Oriente,2,2,2,112,,4,ENTRE 6 - 10 AÑOS,2025-05-16 01:33:19
64348tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,ALVARO OBREGON,Carola,2,1,1,55,,10,ENTRE 6 - 10 AÑOS,2025-05-16 01:33:23
64363tc,LOCAL COMERCIAL,RENTA,"$7,000 MXN",CDMX,ALVARO OBREGON,Molino De Rosas,,SI,,20,,,MAS DE 30,2025-05-16 01:33:25
64480tc,DEPARTAMENTO,RENTA,"$13,500 MXN",CDMX,MIGUEL HIDALGO,Escandon I Seccion,2,1,1,50,,4,ENTRE 21 - 30 AÑOS,2025-05-16 01:33:28
64511tc,CASA,RENTA,"$16,000 MXN",CDMX,ALVARO OBREGON,Bosques De Tarango,8,SI,,100,,4,ENTRE 21 - 30 AÑOS,2025-05-16 01:33:32
